"Chr","Start","End","Conc","Conc_BT474","Conc_MCF7","Fold","p-value","FDR"
"chr18",11268930,11269330,9.3307610096395,3.29242287930848,9.80990246036886,-6.21170879352027,6.56230495423161e-28,1.86697575947889e-24
"chr18",46500949,46501349,8.65847576647514,5.07399530304638,9.10912541646529,-3.94651108286417,1.02853593094041e-25,1.46309236176273e-22
"chr18",40224650,40225050,6.31307384644373,8.00225166118745,3.13007156933895,4.71273895820286,1.25980459124529e-24,1.19471468736428e-21
"chr18",42496326,42496726,7.74702398811261,4.46364728698087,8.18948103186555,-3.63363412893638,3.48231868761361e-20,2.47679916656518e-17
"chr18",1302360,1302760,8.47798294432581,4.14919302946234,8.94275041846234,-4.60404016520746,1.01152366007197e-19,5.75556962580951e-17
"chr18",42497975,42498375,9.45126623632896,4.9637007136476,9.9182005865182,-4.73831141283723,4.73513581018293e-19,2.24524356332841e-16
"chr18",18798689,18799089,8.27062086233365,4.50029430710363,8.72551872513456,-4.07775601259578,1.35309157302991e-17,5.49935075038585e-15
"chr18",9757743,9758143,9.49689699439825,4.68641075237952,9.96755906592135,-4.99778006529787,2.30126817770759e-17,8.1838849569726e-15
"chr18",40284418,40284818,6.44694958200155,8.24146040503361,0.114442254603487,7.31137765410862,8.04685605104629e-17,2.54370060724741e-14
"chr18",37838280,37838680,4.76202244088255,6.56937736294015,0,7.16549079446472,1.73771063555864e-14,4.94378675816432e-12
"chr18",9705227,9705627,9.19116459664518,6.1734786253843,9.62477489436281,-3.34490273660378,2.07449274327239e-14,5.36539259509995e-12
"chr18",71328728,71329128,5.27840958806284,7.00566519761305,1.55313934998622,5.04079342252592,2.55856355066045e-14,6.06592775135749e-12
"chr18",30215235,30215635,8.30691217612136,4.09307659114142,8.76995278723187,-4.42689325673131,3.56304034570459e-14,7.7975767565612e-12
"chr18",55400121,55400521,6.96564439247119,2.0981054146707,7.43688178048385,-4.95048968661249,3.32217783296150e-13,6.75113995341106e-11
"chr18",67326581,67326981,4.40434409843329,6.19892342472026,0,6.39922577103421,4.18174749452714e-13,7.93138108128647e-11
"chr18",37852540,37852940,4.57628541360646,6.36863168603326,0,6.50832673012606,5.76048527351557e-13,1.02428628769699e-10
"chr18",31382854,31383254,6.88777415641172,8.58722418199806,3.57865066077375,4.72135836473431,8.08689712506248e-13,1.35336601887075e-10
"chr18",11983621,11984021,8.11365587601771,4.09977780136608,8.57333859167091,-4.22352060209691,1.03638801101488e-12,1.63806882852075e-10
"chr18",53119391,53119791,5.68817130925863,7.25876865105558,3.44955403983879,3.67806265034585,1.41294097905696e-12,2.11569320285108e-10
"chr18",20981493,20981893,8.75980030317581,3.39017242267572,9.23522269956592,-5.32264155350042,1.62781068588701e-12,2.31556070067427e-10
"chr18",55842733,55843133,6.67652073717005,8.28369185613921,4.21364362913054,3.8510819307715,3.01024399242017e-12,4.07816388496923e-10
"chr18",13480619,13481019,6.27305510470358,2.61435097419584,6.7254688326441,-3.90963797881588,3.66132384098342e-12,4.55556955828222e-10
"chr18",371564,371964,4.07051787246886,5.87787279452647,0,6.50312017996837,3.68288575889248e-12,4.55556955828222e-10
"chr18",995604,996004,3.97640096321364,5.78375588527124,0,6.42299268342716,5.80310668544448e-12,6.87909938337065e-10
"chr18",29205259,29205659,7.16288188618454,0.889038117352572,7.64297174807135,-5.95696581291389,6.55291792281372e-12,7.45722059616201e-10
"chr18",72673084,72673484,7.60098932027881,4.78505575980963,8.02665907436314,-3.13476687210272,9.16760013914176e-12,1.00314701522532e-09
"chr18",37227562,37227962,3.61401665191262,5.42137157397022,0,6.15532253560848,1.09971359752358e-11,1.15639073645877e-09
"chr18",42951475,42951875,4.46067286976981,6.17288293611752,0.976291799602805,4.9353651179364,1.13809984607542e-11,1.15639073645877e-09
"chr18",3041495,3041895,3.90915433809249,5.7165092601501,0,6.34506782734818,1.38108693367086e-11,1.2938613216316e-09
"chr18",39259640,39260040,5.42439154466513,7.00566519761305,3.1244006306881,3.746099776239,1.38282499368983e-11,1.2938613216316e-09
"chr18",55829687,55830087,4.51697184850553,6.32432677056313,0,6.73860484179524,1.40983131706782e-11,1.2938613216316e-09
"chr18",44793030,44793430,5.46670902606329,7.14828422834815,2.36990773812306,4.36795257314703,1.88165159024564e-11,1.67290586695276e-09
"chr18",10909376,10909776,7.39176205144232,2.09139641373051,7.86669063528645,-5.20338149332432,3.68543987749461e-11,3.17729589438551e-09
"chr18",9092612,9093012,7.04543805674891,2.09475481407651,7.51747378117239,-4.93415549676669,4.41422751214947e-11,3.69366978590154e-09
"chr18",2480546,2480946,7.04856458350392,4.78297539800404,7.44561627886023,-2.59232468723809,4.79206929622013e-11,3.89526775649893e-09
"chr18",3313231,3313631,6.82214209768757,3.09475481407651,7.27610753368935,-3.93962936876185,5.4267764584112e-11,4.28866084004996e-09
"chr18",55827849,55828249,5.49081422447957,7.08578431319506,3.10733742758611,3.75935443626148,6.40885247942082e-11,4.92788791998709e-09
"chr18",30287134,30287534,4.71397189540448,6.49392466411289,0,6.00470719866031,1.31984705513326e-10,9.88148650487924e-09
"chr18",45611766,45612166,5.09826275790031,6.70071222564756,2.66671318409758,3.88036664569123,1.37004373548014e-10,9.9942934036949e-09
"chr18",10951758,10952158,5.3585922656675,7.09442414531146,1.47419085514735,5.15079237018468,2.31623257397725e-10,1.64742041824132e-08
